candidate_id,selector_digest,session_id,manifest_digest,split,gate_policy,target_two_sided_coverage,joint_tail_quantile,calibration_sample_count,joint_tail_order,finite_sample_two_sided_lower_bound,same_session_repeat_event_successes,same_session_repeat_event_sample_count,same_session_repeat_event_coverage,same_session_repeat_event_ci_lower,same_session_repeat_event_ci_upper,same_session_repeat_event_ci_method,global_band_coverage,global_upper_coverage,joint_upper_coverage,joint_lower_coverage,joint_two_sided_coverage,per_camera_band_coverages_json,selector_covariance_condition_number,audit_digest
structured_joint_two_sided_95,6afcfa8ba0164183ef84bca1477dd3b88098ee0100faf44f24a745354897dab1,development:2101:d7d9a77030834a1d,ac139479f44c6702d4538c0da883f7b7d1debe6d163d997c40c3cac4b4aeb79f,development,joint_two_sided,0.95,0.975,64,64,0.9692307692307693,246,256,0.9609375,0.9293377140998474,0.9811117242805399,clopper-pearson-exact,1.0,1.0,0.98828125,0.97265625,0.9609375,"[0.98046875,0.98828125,0.9921875]",28.229564386121027,b3e820d6a261a61c59cbd91ea2f2358fdd1c3875ce5c7210708af11dc98728e8
isotropic_joint_two_sided_95,0bd5e37a30ed1391568f5908773ec8e9ea6a36e4001aa4c70af6ca635cc7e76d,development:2101:d7d9a77030834a1d,ac139479f44c6702d4538c0da883f7b7d1debe6d163d997c40c3cac4b4aeb79f,development,joint_two_sided,0.95,0.975,64,64,0.9692307692307693,243,256,0.94921875,0.9147278740435401,0.9726874749949956,clopper-pearson-exact,1.0,1.0,0.98828125,0.9609375,0.94921875,"[0.98046875,0.99609375,0.97265625]",1.0,e60dea7a8f8cedf9bcad6dd91fe4ca51d1dab9b994f8b2befe6217592bc0c1e4
structured_joint_upper_95_ablation,37e10e3c022972891673dbb124f1d325610253e386a60b40b23c354c21724f4e,development:2101:d7d9a77030834a1d,ac139479f44c6702d4538c0da883f7b7d1debe6d163d997c40c3cac4b4aeb79f,development,joint_upper_only,0.9,0.95,64,62,0.9076923076923078,250,256,0.9765625,0.9496870965771785,0.9913513838038861,clopper-pearson-exact,1.0,1.0,0.9765625,0.8984375,0.875,"[0.953125,0.96484375,0.95703125]",28.229564386121027,272ca4759b09450bb2e22fcbd72c14a8165e976456ab88def73acbcbea9715d0
structured_global_upper_95_ablation,eaf09a6ae59cca02326aad75884dc74ad36175ddbffcd00bb41ee438162b8ba4,development:2101:d7d9a77030834a1d,ac139479f44c6702d4538c0da883f7b7d1debe6d163d997c40c3cac4b4aeb79f,development,global_upper_only,0.9,0.95,64,62,0.9076923076923078,256,256,1.0,0.9856936372709615,1.0,clopper-pearson-exact,1.0,1.0,0.9765625,0.8984375,0.875,"[0.953125,0.96484375,0.95703125]",28.229564386121027,10d4bfca2f600e0b24f0c16b5941a05c4a6e8e466662db51e1d5d5dd2baba723
structured_target_mismatch_oracle_fraction_025,c5eb1cd3c0204350d33ef156cc8859e6b98ccabe27e31ab085f7d691fafc537f,development:2101:d7d9a77030834a1d,ac139479f44c6702d4538c0da883f7b7d1debe6d163d997c40c3cac4b4aeb79f,development,joint_two_sided,0.95,0.975,64,64,0.9692307692307693,246,256,0.9609375,0.9293377140998474,0.9811117242805399,clopper-pearson-exact,1.0,1.0,0.98828125,0.97265625,0.9609375,"[0.98046875,0.98828125,0.9921875]",28.229564386121027,2c331660429855ac78a1e0e981d2e3fa89b39ae2f58eec84a5d5e5d51415abd0
structured_target_mismatch_oracle_fraction_050,600e8ccb6434976a4c7ffbcb9cf2434dce0b87409a3bb6717821d13f57362139,development:2101:d7d9a77030834a1d,ac139479f44c6702d4538c0da883f7b7d1debe6d163d997c40c3cac4b4aeb79f,development,joint_two_sided,0.95,0.975,64,64,0.9692307692307693,246,256,0.9609375,0.9293377140998474,0.9811117242805399,clopper-pearson-exact,1.0,1.0,0.98828125,0.97265625,0.9609375,"[0.98046875,0.98828125,0.9921875]",28.229564386121027,6e5bd9626e24496297016c7cba0c58915fe30e243cc2322bd0e1febc6a447480
structured_target_mismatch_oracle_fraction_075,e4705453329291111d7538cfe4d13dea0fc71c3562842c9698774bda91584a7e,development:2101:d7d9a77030834a1d,ac139479f44c6702d4538c0da883f7b7d1debe6d163d997c40c3cac4b4aeb79f,development,joint_two_sided,0.95,0.975,64,64,0.9692307692307693,246,256,0.9609375,0.9293377140998474,0.9811117242805399,clopper-pearson-exact,1.0,1.0,0.98828125,0.97265625,0.9609375,"[0.98046875,0.98828125,0.9921875]",28.229564386121027,4a9809094c4396fac2becf2e1b1e02bb9ba28a9eff5d8df10dae9e98cfdf252c
structured_exact_target_mismatch_oracle_fraction_100,b1445888b77029e83994402878c5862dab0b0dd6ce45e81860ca8c2504673003,development:2101:d7d9a77030834a1d,ac139479f44c6702d4538c0da883f7b7d1debe6d163d997c40c3cac4b4aeb79f,development,joint_two_sided,0.95,0.975,64,64,0.9692307692307693,246,256,0.9609375,0.9293377140998474,0.9811117242805399,clopper-pearson-exact,1.0,1.0,0.98828125,0.97265625,0.9609375,"[0.98046875,0.98828125,0.9921875]",28.229564386121027,029ff59e8cd0c2c9880276a907d9a5fa64f19cf2cb6e2b4672cd0d6c38906b02
structured_joint_two_sided_95,e42c0fdb0c25f021c7bd5df1239305d59a24926550d3628fa9f264c826ce0dd3,development:2113:ec64a4d4fb310d8d,8b3ba79f6cd432f15f13b54938cbe6cdfbd23973eb0e22f28c7485c0e58f9f52,development,joint_two_sided,0.95,0.975,64,64,0.9692307692307693,253,256,0.98828125,0.9661367173637085,0.9975767612461293,clopper-pearson-exact,1.0,1.0,0.99609375,0.9921875,0.98828125,"[0.99609375,0.99609375,0.99609375]",23.23774060910602,a59213270cc06e8329e749020b61d27ea7400e5c933a2b561e249124007ae67a
isotropic_joint_two_sided_95,9c0d330281a12f3bb7ebb13611d00d5a701bb5f77da5821187959acba30abf00,development:2113:ec64a4d4fb310d8d,8b3ba79f6cd432f15f13b54938cbe6cdfbd23973eb0e22f28c7485c0e58f9f52,development,joint_two_sided,0.95,0.975,64,64,0.9692307692307693,240,256,0.9375,0.9004864688995841,0.9638572392103926,clopper-pearson-exact,1.0,1.0,0.98828125,0.94921875,0.9375,"[0.9921875,0.96484375,0.9765625]",1.0,f5d0eedf371e9b417687a2e32895cc62d9bef004ca0323fd1bedb598ac29b460
