case_id,split,family,base_seed,method,model_seed,field_relative_l2,field_rmse,field_nrmse_dynamic_range,field_mean_bias,h1_seminorm_relative_error,measured_reprojection_relative_l2,clean_reprojection_relative_l2,gate,correction_rms,optimization_forward_calls,optimization_adjoint_calls,grouped_adjoint_calls,evaluation_forward_calls,neural_inference_seconds,projection_variant,projection_iterations,damping_fraction,damping_absolute,preconditioner,projection_forward_calls,projection_adjoint_calls,paired_call_budget,matched_cgls_field_relative_l2,matched_huber_field_relative_l2,matched_base_landweber_field_relative_l2,field_gain_to_best_matched_classical,h1_gain_to_best_matched_classical,reprojection_ratio_to_matched_cgls,visible_correction_fraction,system_residual_fraction,exact_projection_approximation_error,exact_oracle_error_reduction_retention,oracle_reduction_defined,base_anchor_field_relative_l2,exact_oracle_field_relative_l2,raw_learned_field_relative_l2,exact_oracle_rank,exact_oracle_nullity_lower_bound,field_harm_to_best_matched_classical,converged,breakdown,projection_diagnostic_forward_calls,dense_oracle_used_by_algorithm,projection_target_mode,exact_oracle_internal_projection_residual
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.24785472577107925,0.025403478643601995,0.028821318826679175,0.0034603782994104917,0.47738947797293424,0.1974321043240691,0.196684547506335,0.7063487768173218,0.04965257334814656,14,13,1,1,0.02670433302409947,affine_cg_undamped,0,0.0,0.0,identity,1,0,14,0.5968408693463881,0.6157464450463019,0.5961710292723394,0.5847222626652399,0.5000252754422545,42.87705265529154,1.0,1.0,1.0,1.0264014376385147,1,0.5961347720424761,0.2568133004429239,0.24785472577107925,150,850,0,0,0,1,False,affine_observation,2.341612452584403e-15
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.25295593137094613,0.025926318654457912,0.029414502888580003,0.003187981191845898,0.5206736984471847,0.07549594298039476,0.07544456150689709,0.7063487768173218,0.04759078155970753,15,14,1,1,0.02670433302409947,affine_cg_undamped,1,0.0,0.0,identity,2,1,15,0.5971029818222995,0.607077191672447,0.5961853694286711,0.5763612993541758,0.4612576082271072,21.090911938578397,0.38238939527521915,0.3823893952752192,0.5236739062272405,1.011367889729448,1,0.5961347720424761,0.2568133004429239,0.24785472577107925,150,850,0,0,0,1,False,affine_observation,2.341612452584403e-15
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.2509592677644166,0.025721673771738278,0.029182324630875268,0.002919837615499788,0.5348399549981399,0.047966433860887774,0.047050047824800406,0.7063487768173218,0.047255630926415805,16,15,1,1,0.02670433302409947,affine_cg_undamped,2,0.0,0.0,identity,3,2,16,0.5972661942929209,0.599511718989623,0.5961985733520055,0.5798200699078289,0.45198867643703144,16.834266657866696,0.24295154035411934,0.24295154035411937,0.39635299244885974,1.0172521728463322,1,0.5961347720424761,0.2568133004429239,0.24785472577107925,150,850,0,0,0,1,False,affine_observation,2.341612452584403e-15
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.2514936915942519,0.025776448698081184,0.02924446909691415,0.0026270888505707307,0.531851930424826,0.021352600205739477,0.024045440449101247,0.7063487768173218,0.04702142464526371,18,17,1,1,0.02670433302409947,affine_cg_undamped,4,0.0,0.0,identity,5,4,18,0.5975108025880026,0.5867877968171817,0.5962235622431531,0.5714060637279976,0.4623115402572323,12.405428586997783,0.10815161130375678,0.10815161130375678,0.2641080627689347,1.0156771949137067,1,0.5961347720424761,0.2568133004429239,0.24785472577107925,150,850,0,0,0,1,False,affine_observation,2.341612452584403e-15
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.25486129316087813,0.026121605701692086,0.029636064286923156,0.0027054292981563235,0.5425479502200363,0.011900506247830317,0.02194961235146812,0.7063487768173218,0.04696876354521652,22,21,1,1,0.02670433302409947,affine_cg_undamped,8,0.0,0.0,identity,9,8,22,0.5976395706410947,0.567382652763368,0.596272913069439,0.5508123275894895,0.45670146691031455,17.740108855587053,0.06027644940812961,0.06027644940812963,0.1196617680688418,1.0057526783461241,1,0.5961347720424761,0.2568133004429239,0.24785472577107925,150,850,0,0,0,1,False,affine_observation,2.341612452584403e-15
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.2567316156843409,0.02631330145465231,0.029853551210320493,0.002670383036564176,0.5470122118105051,0.004732793565839712,0.01954287548168332,0.7063487768173218,0.04698870495850455,26,25,1,1,0.02670433302409947,affine_cg_undamped,12,0.0,0.0,identity,13,12,26,0.5976546838072083,0.5528067721055604,0.5963235531779676,0.5355852557549402,0.45113515777729823,19.076971357388185,0.023971752628798443,0.023971752628798478,0.04508541621720992,1.0002407297074303,1,0.5961347720424761,0.2568133004429239,0.24785472577107925,150,850,0,0,0,1,False,affine_observation,2.341612452584403e-15
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.2568286275967669,0.02632324453739088,0.029864832057394583,0.0026716750190169973,0.5476317994453626,0.000730611821286304,0.019265025717063546,0.7063487768173218,0.04699991823241567,34,33,1,1,0.02670433302409947,affine_cg_undamped,20,0.0,0.0,identity,21,20,34,0.5976555104146046,0.5315105728874139,0.5964275602088683,0.5167948848099978,0.44325009584354463,23.190090351767857,0.003700572527389278,0.003700572527389245,0.0065921305122214014,0.9999548299912447,1,0.5961347720424761,0.2568133004429239,0.24785472577107925,150,850,0,0,0,1,False,affine_observation,2.341612452584403e-15
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.256810383489981,0.026321374636481525,0.029862710575882585,0.0026715355066012276,0.5474115198278102,3.4345506541519454e-05,0.019167208272091677,0.7063487768173218,0.047000170894932296,46,45,1,1,0.02670433302409947,affine_cg_undamped,32,0.0,0.0,identity,33,32,46,0.5976555523235216,0.5075114900770632,0.5965822775325558,0.4939811442476198,0.4286306327306017,32.847436275240284,0.00017396110252233365,0.00017396110252235737,0.00034460630694360114,1.0000085964290122,1,0.5961347720424761,0.2568133004429239,0.24785472577107925,150,850,0,0,0,1,False,affine_observation,2.341612452584403e-15
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.24785472577107925,0.025403478643601995,0.028821318826679175,0.0034603782994104917,0.47738947797293424,0.1974321043240691,0.196684547506335,0.7063487768173218,0.04965257334814656,14,13,1,1,0.02670433302409947,affine_cg_damped_1e-6,0,1e-06,8.97758779807751e-06,identity,1,0,14,0.5968408693463881,0.6157464450463019,0.5961710292723394,0.5847222626652399,0.5000252754422545,42.87705265529154,1.0,1.0,1.0,1.0264014376385147,1,0.5961347720424761,0.2568133004429239,0.24785472577107925,150,850,0,0,0,1,False,affine_observation,2.341612452584403e-15
6c144f9849f9520d81e5,development,smooth_no_interface,2101,jacru_m2,17,0.25295584751240213,0.025926310059508895,0.029414493137247543,0.003187981724418645,0.5206735059608416,0.07549579537672395,0.07544440968671093,0.7063487768173218,0.04759078154705117,15,14,1,1,0.02670433302409947,affine_cg_damped_1e-6,1,1e-06,8.97758779807751e-06,identity,2,1,15,0.5971029818222995,0.607077191672447,0.5961853694286711,0.5763614397965225,0.4612578073932129,21.0908707033027,0.38238864765784797,0.38238864765284963,0.5236739062298899,1.0113681368654268,1,0.5961347720424761,0.2568133004429239,0.24785472577107925,150,850,0,0,0,1,False,affine_observation,2.341612452584403e-15
