replicate,sample_index,reaction_family,candidate_id,method,covariance_mode,penalty,stages,perturbation_inner_steps,perturbation_initial_step,perturbation_decay,forward_calls,adjoint_calls,total_operator_calls,field_relative_l2,gradient_relative_l2,front_top10_f1,solver_elapsed_seconds,mean_perturbation_norm,mean_perturbation_trials,mean_final_exponent,graph_same_stage_id,graph_budget_floor_id,graph_budget_ceiling_id,field_gain_vs_component_percent,gradient_gain_vs_component_percent,front_gain_vs_component,field_gain_vs_graph_same_stage_percent,gradient_gain_vs_graph_same_stage_percent,front_gain_vs_graph_same_stage,field_gain_vs_graph_budget_floor_percent,gradient_gain_vs_graph_budget_floor_percent,front_gain_vs_graph_budget_floor,field_gain_vs_graph_budget_ceiling_percent,gradient_gain_vs_graph_budget_ceiling_percent,front_gain_vs_graph_budget_ceiling
0,0,plume,component_s3_k4,pcgls,component_iid,none,4,0,0.0,0.0,4,4,8,0.5352761745452881,0.693885862827301,0.8097560405731201,0.07872066699201241,0.0,0.0,0.0,graph_s3_k4,graph_s3_k4,graph_s3_k4,0.0,0.0,0.0,-1.3726052611587038,-1.3140616132605762,0.0,-1.3726052611587038,-1.3140616132605762,0.0,-1.3726052611587038,-1.3140616132605762,0.0
0,1,wavy_front,component_s3_k4,pcgls,component_iid,none,4,0,0.0,0.0,4,4,8,0.4705358147621155,0.6476908922195435,0.5609756112098694,0.07872066699201241,0.0,0.0,0.0,graph_s3_k4,graph_s3_k4,graph_s3_k4,0.0,0.0,0.0,-1.1608868574849665,-1.6190766625547526,-0.0024390220642089844,-1.1608868574849665,-1.6190766625547526,-0.0024390220642089844,-1.1608868574849665,-1.6190766625547526,-0.0024390220642089844
0,2,thin_front,component_s3_k4,pcgls,component_iid,none,4,0,0.0,0.0,4,4,8,0.5734179615974426,0.7918901443481445,0.6048780679702759,0.07872066699201241,0.0,0.0,0.0,graph_s3_k4,graph_s3_k4,graph_s3_k4,0.0,0.0,0.0,-1.636874010873263,-1.3115887688262837,-0.0024390220642089844,-1.636874010873263,-1.3115887688262837,-0.0024390220642089844,-1.636874010873263,-1.3115887688262837,-0.0024390220642089844
0,3,double_front,component_s3_k4,pcgls,component_iid,none,4,0,0.0,0.0,4,4,8,0.6779938340187073,0.8029798865318298,0.5975610017776489,0.07872066699201241,0.0,0.0,0.0,graph_s3_k4,graph_s3_k4,graph_s3_k4,0.0,0.0,0.0,-3.2180690551206323,-5.148124675113837,-0.041463375091552734,-3.2180690551206323,-5.148124675113837,-0.041463375091552734,-3.2180690551206323,-5.148124675113837,-0.041463375091552734
0,4,annular_kernel,component_s3_k4,pcgls,component_iid,none,4,0,0.0,0.0,4,4,8,0.9720371961593628,0.9975928068161011,0.2536585330963135,0.07872066699201241,0.0,0.0,0.0,graph_s3_k4,graph_s3_k4,graph_s3_k4,0.0,0.0,0.0,-0.1857125094177068,-0.16877505815856836,0.004878044128417969,-0.1857125094177068,-0.16877505815856836,0.004878044128417969,-0.1857125094177068,-0.16877505815856836,0.004878044128417969
0,5,oblique_shock,component_s3_k4,pcgls,component_iid,none,4,0,0.0,0.0,4,4,8,0.7463250160217285,0.9180944561958313,0.35853657126426697,0.07872066699201241,0.0,0.0,0.0,graph_s3_k4,graph_s3_k4,graph_s3_k4,0.0,0.0,0.0,-0.03143643915499171,-0.02986660363010091,0.0,-0.03143643915499171,-0.02986660363010091,0.0,-0.03143643915499171,-0.02986660363010091,0.0
0,6,vortex_pair,component_s3_k4,pcgls,component_iid,none,4,0,0.0,0.0,4,4,8,0.6562643051147461,0.7695128321647644,0.6536585092544556,0.07872066699201241,0.0,0.0,0.0,graph_s3_k4,graph_s3_k4,graph_s3_k4,0.0,0.0,0.0,-2.7070673300443056,-2.667393089482811,-0.0073171257972717285,-2.7070673300443056,-2.667393089482811,-0.0073171257972717285,-2.7070673300443056,-2.667393089482811,-0.0073171257972717285
0,7,multi_plume,component_s3_k4,pcgls,component_iid,none,4,0,0.0,0.0,4,4,8,0.6895167827606201,0.8204280138015747,0.6000000238418579,0.07872066699201241,0.0,0.0,0.0,graph_s3_k4,graph_s3_k4,graph_s3_k4,0.0,0.0,0.0,-1.0049705441474568,-1.0286656632181104,-0.036585330963134766,-1.0049705441474568,-1.0286656632181104,-0.036585330963134766,-1.0049705441474568,-1.0286656632181104,-0.036585330963134766
0,0,plume,graph_s3_k4,pcgls,full_graph,none,4,0,0.0,0.0,4,4,8,0.5280284285545349,0.6848860383033752,0.8097560405731201,0.0816146670258604,0.0,0.0,0.0,graph_s3_k4,graph_s3_k4,graph_s3_k4,1.3540199126012031,1.2970179976365535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,wavy_front,graph_s3_k4,pcgls,full_graph,none,4,0,0.0,0.0,4,4,8,0.4651361107826233,0.6373713612556458,0.5634146332740784,0.0816146670258604,0.0,0.0,0.0,graph_s3_k4,graph_s3_k4,graph_s3_k4,1.1475649270655555,1.5932802341150973,0.0024390220642089844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
