design_id,seed,method,rank,noise_level,view_count,dynamics,reconstruction_seconds,postprocess_seconds,rel_l2_global,paper_l2_squared,mean_frame_rel_l2_global,global_cc,temporal_smoothness,temporal_gradient_rel_l2,temporal_curvature_rel_l2,dynamics_energy_ratio,centroid_rmse,mass_trace_rmse,heldout_reprojection_rel_l2
d-smooth_v-3_n-0.00_s-20260712,20260712,lowrank,3,0.0,3,smooth,0.09459129103925079,0.021150915999896824,0.5088780595925589,0.25895687953468793,0.5100209026104985,0.8283354043630418,0.16416832729729797,0.9019954298093817,0.9712596941352498,0.9077641882936421,0.04855755992874814,0.19807748317684248,0.48520702631056045
d-smooth_v-3_n-0.00_s-20260712,20260712,lowrank,5,0.0,3,smooth,0.09459129103925079,0.048882583039812744,0.5093104819517401,0.25939716702591376,0.5108353688856653,0.8280132279480894,0.1765751275385019,0.9093836449035697,0.9964203145543655,0.975004680612927,0.04878734237969391,0.19320548132331303,0.4847462561326338
d-smooth_v-3_n-0.00_s-20260712,20260712,lowrank,8,0.0,3,smooth,0.09459129103925079,0.032024750020354986,0.5098684425199163,0.25996582867768514,0.511405279796262,0.8275969292900616,0.18080906626852083,0.9227960530182097,1.034058838773131,0.9977547016829377,0.04888245990702891,0.19290848451388437,0.48505563182394024
d-smooth_v-3_n-0.00_s-20260713,20260713,framewise,0,0.0,3,smooth,0.09975204197689891,0.0,0.5099253624779745,0.26002387529829374,0.5114634936627207,0.8275544234720618,0.18169438972574906,0.9244598012391955,1.0441510654316883,1.0022449011275902,0.04888581754375582,0.19284964376848887,0.48506914063945444
d-smooth_v-3_n-0.00_s-20260713,20260713,lowrank,1,0.0,3,smooth,0.09975204197689891,0.006217333022505045,0.5240326751257731,0.27461024459947414,0.524942889837989,0.8168031454128946,0.10413716525148431,0.9405624235890695,0.9788226641076578,0.6259342419109652,0.05215910035751294,0.19355812722015248,0.49195966877373287
d-smooth_v-3_n-0.00_s-20260713,20260713,lowrank,2,0.0,3,smooth,0.09975204197689891,0.003983500064350665,0.5077735864280359,0.2578340150739901,0.5086166835988278,0.8291564836106411,0.13808130003909866,0.8892132515524658,0.9602658709899539,0.7681583543812366,0.04811153616062667,0.1982022846165952,0.48025499945638905
d-smooth_v-3_n-0.00_s-20260713,20260713,lowrank,3,0.0,3,smooth,0.09975204197689891,0.011361666023731232,0.5088780595925589,0.25895687953468793,0.5100209026104985,0.8283354043630418,0.16416832729729797,0.9019954298093817,0.9712596941352498,0.9077641882936421,0.04855755992874814,0.19807748317684248,0.48520702631056045
d-smooth_v-3_n-0.00_s-20260713,20260713,lowrank,5,0.0,3,smooth,0.09975204197689891,0.00465020805131644,0.5093104819517401,0.25939716702591376,0.5108353688856653,0.8280132279480894,0.1765751275385019,0.9093836449035697,0.9964203145543655,0.975004680612927,0.04878734237969391,0.19320548132331303,0.4847462561326338
d-smooth_v-3_n-0.00_s-20260713,20260713,lowrank,8,0.0,3,smooth,0.09975204197689891,0.008883583941496909,0.5098684425199163,0.25996582867768514,0.511405279796262,0.8275969292900616,0.18080906626852083,0.9227960530182097,1.034058838773131,0.9977547016829377,0.04888245990702891,0.19290848451388437,0.48505563182394024
d-smooth_v-3_n-0.00_s-20260714,20260714,framewise,0,0.0,3,smooth,0.09194070799276233,0.0,0.5099253624779745,0.26002387529829374,0.5114634936627207,0.8275544234720618,0.18169438972574906,0.9244598012391955,1.0441510654316883,1.0022449011275902,0.04888581754375582,0.19284964376848887,0.48506914063945444
d-smooth_v-3_n-0.00_s-20260714,20260714,lowrank,1,0.0,3,smooth,0.09194070799276233,0.007430083933286369,0.5240326751257731,0.27461024459947414,0.524942889837989,0.8168031454128946,0.10413716525148431,0.9405624235890695,0.9788226641076578,0.6259342419109652,0.05215910035751294,0.19355812722015248,0.49195966877373287
d-smooth_v-3_n-0.00_s-20260714,20260714,lowrank,2,0.0,3,smooth,0.09194070799276233,0.007842125021852553,0.5077735864280359,0.2578340150739901,0.5086166835988278,0.8291564836106411,0.13808130003909866,0.8892132515524658,0.9602658709899539,0.7681583543812366,0.04811153616062667,0.1982022846165952,0.48025499945638905
