strategy,model_seed,cumulative_epochs,block_index,block_seed,batch_order_contract_sha256,endpoint_validation_rel_l2,candidate_best_val_rel_l2,selected_validation_rel_l2,relative_validation_improvement_pct,retained_previous_checkpoint,selected_checkpoint_epoch,best_epoch_in_block,train_seconds_block,cumulative_train_seconds,ending_learning_rate,selected_checkpoint_sha256,endpoint_checkpoint_sha256
restart_adam_restart_cosine,20260901,24,0,20261002,004eb887c758fa874654c4d2a9718c648fa59d183baed86064105c3243d2622d,0.17542076259851455,0.17542076259851455,0.17542076259851455,0.0,False,24,24,5.637964916997589,5.637964916997589,0.0,7a6c48c47e6f5843318c6c4249cecf4df1929d4635722188164a2cab29572f84,7a6c48c47e6f5843318c6c4249cecf4df1929d4635722188164a2cab29572f84
restart_adam_restart_cosine,20260901,36,1,20270902,8fb62264474cc4d8a82bb44e03b36f22a9bb15c4d4f0e003daaa2cf1422a09ba,0.1547056667506695,0.1547056667506695,0.1547056667506695,11.808805035888257,False,36,12,2.357237333082594,7.995202250080183,0.0,a78c665fd32bb615d89ed6102f639942b3eb1aff36b8d62929cc233d5a381b22,a78c665fd32bb615d89ed6102f639942b3eb1aff36b8d62929cc233d5a381b22
restart_adam_restart_cosine,20260901,48,2,20270903,41e928de7251a6210c5b9e0b293236aa2c9b2a1edac205c830c3ee686e79e86c,0.13952720612287522,0.13952720612287522,0.13952720612287522,9.811185941985197,False,48,12,2.453979125013575,10.449181375093758,0.0,41fc964b7fd6a49d621f4747fe2e6d73cb3b7fa3ad7d9b20601fddf095dc0866,41fc964b7fd6a49d621f4747fe2e6d73cb3b7fa3ad7d9b20601fddf095dc0866
restart_adam_restart_cosine,20260901,60,3,20270904,41225d4c91784d8eaf4cc0f2c2ac600fb7c3a8b1e3e7986a929ceccc0938a523,0.13094527423381805,0.13093659058213233,0.13093659058213233,6.156946576509214,False,59,11,2.469641292002052,12.91882266709581,0.0,7495b8bf6738aa31349a1b9465463ff382fdc93e4bd7613ea1b2fd9c9f032988,32fa998942ecd086f2fab46f436d191b7a7e3c61f24fa31ce28074d5890b5d3d
restart_adam_restart_cosine,20260901,72,4,20270905,b35200816b01583382d6ee8f87f30cc0fd8bb41fa35743581e7b94e2247b5aea,0.12549124732613565,0.12549766078591346,0.12549766078591346,4.153865448914123,False,71,11,2.2929433749523014,15.211766042048112,0.0,522e9921a29a7b1e9095004300a5ae688d75e9306cbb77d64f10c0453d0f2c03,380f30449faeb356011dfd46b5a6721272d05ae06e6d9c62069860dee00c163b
restart_adam_restart_cosine,20260901,84,5,20270906,67a95174008f6ca00d94c57e107ca349b0c3d21eb9f66bd317686f0b116a1537,0.12173793762922287,0.12173793762922287,0.12173793762922287,2.995851184090466,False,84,12,2.397417083964683,17.609183126012795,0.0,04c9d2f6178dfc95de7832081482b24c027d09175f3a3afb61aa73a39806ec94,04c9d2f6178dfc95de7832081482b24c027d09175f3a3afb61aa73a39806ec94
restart_adam_restart_cosine,20260901,96,6,20270907,b69b0f91ae12562b39b77987a740050a044113ec5e8f66dc5c94e7b6f0752990,0.11862028911709785,0.11862028911709785,0.11862028911709785,2.560950655821715,False,96,12,2.5148521669907495,20.124035293003544,0.0,9c42e5a7e061a358802fb1fa60f5dc2995fb0ac7cc9bfa5a8146bfa8a7697641,9c42e5a7e061a358802fb1fa60f5dc2995fb0ac7cc9bfa5a8146bfa8a7697641
restart_adam_restart_cosine,20260901,108,7,20270908,a7def47860a39bc67ddc67552d7ae34f99e28332d3379d0a116f5cccdc732c77,0.1156809002161026,0.11567553281784057,0.11567553281784057,2.4825064254610707,False,107,11,2.3922045840881765,22.51623987709172,0.0,ec37fc5052cdc82988a0cf080583174c131e68f681b0b3f1b642f8bd3aeca650,c69d3d3cdf73b0d1f0ce9a31288c289a12b454795762b0301d305408392f74e1
restart_adam_restart_cosine,20260901,120,8,20270909,711d551c20f7b54c1acf29daf778abdf521d9e25c9b60a969e6397250ab202c1,0.11365565061569213,0.11365565061569213,0.11365565061569213,1.7461620041221462,False,120,12,2.760226333979517,25.276466211071238,0.0,c88aceb7e700941729acbb8fe5b9006dbebe6f1096d6fa9fbd76f8bab2def29b,c88aceb7e700941729acbb8fe5b9006dbebe6f1096d6fa9fbd76f8bab2def29b
restart_adam_restart_cosine,20260901,132,9,20270910,fe23b47ecf4b9152bc5df64073ea27a3d73fc35c67fff2b66f515dfbe7084e0a,0.11156255528330802,0.11156255528330802,0.11156255528330802,1.8416113242298444,False,132,12,2.6912115419982,27.967677753069438,0.0,986aa51231ee29dc8dadda56fe71f05d90764872616dddea601cbbfd59030d74,986aa51231ee29dc8dadda56fe71f05d90764872616dddea601cbbfd59030d74
restart_adam_restart_cosine,20260901,144,10,20270911,01e187b3417d64a293b488dcb0ae855a7b2c83639a6d20aeb1c82a4588729a26,0.10957885235548019,0.10957885235548019,0.10957885235548019,1.7781081858268017,False,144,12,2.8679816669318825,30.83565942000132,0.0,b8066acbddacecfb2ca4a708d64adae91f71e385fe6e1ed8745438666a396f8b,b8066acbddacecfb2ca4a708d64adae91f71e385fe6e1ed8745438666a396f8b
restart_adam_restart_cosine,20260901,156,11,20270912,6bca3d54db854935e125677c616d0ceb9cc015d6b26f6f2562f8967166303756,0.1076677568256855,0.10764048472046853,0.10764048472046853,1.7689249278736718,False,155,11,2.691989874932915,33.527649294934236,0.0,bfbb369b0b4772f97af4484e76444e7434c5fbd449201533f46b5b274589ab75,cd8c99778552bd77a7fecaf2c8b25cb22f7cfd14028fe9e6a80b9be883ff0d49
restart_adam_restart_cosine,20260901,168,12,20270913,6c70c9b47bc262dc9f2ae853f7f65c3075c25e40559204ef7792e02e3e8b9283,0.10606869384646415,0.10606990605592728,0.10606990605592728,1.4590966109129735,False,166,10,2.775333874975331,36.30298316990957,0.0,67390463ca83ec9f5047dffaf84d3f06f4f576948a336063d624545cd469a5c9,e7cfd791962eef7046981e4615ca2d75b379978c2f1bfe704b87f8a851116205
restart_adam_restart_cosine,20260901,180,13,20270914,77a1198da194af11dc28fd1b9e6c0d5d48a57872d5b200693728a9428d7ffada,0.10461909100413322,0.104621022939682,0.104621022939682,1.3659700193075175,False,179,11,2.958490791032091,39.26147396094166,0.0,d12ea1b4f503f0348216bb2507b91a6f140e3ba4cbd829a2b35dc8fe18b24cfc,651db8be210063c5532f8f8cecc83e862aca93b45fdf4af079f11ae7d2c1ff80
restart_adam_restart_cosine,20260901,192,14,20270915,ad000b7862d9e826e8d5a7f4f45b06a79f64f80988dbc3a06d5ca128058c4249,0.10331858918070794,0.10331858918070794,0.10331858918070794,1.2449063509085772,False,192,12,2.309382874984294,41.57085683592595,0.0,cb7c65dac52b1a490f7c27afa623e79a21fa8230ab220ab17832ce88355c9111,cb7c65dac52b1a490f7c27afa623e79a21fa8230ab220ab17832ce88355c9111
restart_adam_restart_cosine,20260901,204,15,20270916,5f683b1e3cddd119bb4de59c4bfd506dd0fbfc2c74c37fdbde51102ddb5b7a6e,0.10225561112165452,0.10223641246557236,0.10223641246557236,1.0474172399241144,False,203,11,2.3359247089829296,43.90678154490888,0.0,59f234c300b87cc4014acc660d43e89695036fe1031a1995ecc760ffa3c84453,272f37ad746e2db792223f801f4498325777e78abccb0073021c0e0e0df8ef86
restart_adam_restart_cosine,20260901,216,16,20270917,f8b61a1cec68255d4a08860fe53db77c59f24ebb99b575aa01662377e247b4b5,0.10144224464893341,0.10144859701395034,0.10144859701395034,0.7705820584027263,False,214,10,2.4263828339753672,46.33316437888425,0.0,f450a7d6cdf9b5d3806f54e0552749c80fdf4e54ec288afa3cf9f14788393586,bd434e7b824001a630c93de57a267aa841b1cd0d7017231e9e20b062d93d5d04
restart_adam_restart_cosine,20260901,228,17,20270918,bdb2b781577aff57922a11e8c63c5d86cec0549262131080a76dd19497285a0c,0.10046211853623391,0.10047049522399902,0.10047049522399902,0.9641353539932939,False,227,11,2.3275560420006514,48.6607204208849,0.0,6580b9f269d53f5c24f92dbe7bef1c36eac589200569b0674619c7a6996cb2b3,05603e777bb6a9c601aeaa06ada634f87ad3a2de1ea65561dd1286733e066f2c
restart_adam_restart_cosine,20260901,240,18,20270919,c8f5ddc5516e2e7d6552183eb860819cc6ca6da0f8c5c56d548d11fa7cb97364,0.09932840317487716,0.09933090135455132,0.09933090135455132,1.13425724327887,False,239,11,2.4384950830135494,51.09921550389845,0.0,8b8d345ee2afa9d24327d2e7ccad46aec7e8b485c3d5e146c05c11dd2b7a5846,61a47d677f35bc67232e93e79d7a8ae9893a33c82661bd18bada0b86008a35d9
carry_adam_restart_cosine,20260901,24,0,20261002,004eb887c758fa874654c4d2a9718c648fa59d183baed86064105c3243d2622d,0.17542076259851455,0.17542076259851455,0.17542076259851455,0.0,False,24,24,5.637964916997589,5.637964916997589,0.0,7a6c48c47e6f5843318c6c4249cecf4df1929d4635722188164a2cab29572f84,7a6c48c47e6f5843318c6c4249cecf4df1929d4635722188164a2cab29572f84
carry_adam_restart_cosine,20260901,36,1,20270902,8fb62264474cc4d8a82bb44e03b36f22a9bb15c4d4f0e003daaa2cf1422a09ba,0.1547056667506695,0.1547056667506695,0.1547056667506695,11.808805035888257,False,36,12,2.7773207089630887,8.415285625960678,0.0,a78c665fd32bb615d89ed6102f639942b3eb1aff36b8d62929cc233d5a381b22,a78c665fd32bb615d89ed6102f639942b3eb1aff36b8d62929cc233d5a381b22
carry_adam_restart_cosine,20260901,48,2,20270903,41e928de7251a6210c5b9e0b293236aa2c9b2a1edac205c830c3ee686e79e86c,0.137136559933424,0.137136559933424,0.137136559933424,11.35647270467932,False,48,12,2.32435491704382,10.739640543004498,0.0,e8f070c23a44bf17c0f5abe142916bbf2f584366edbf2e6c2d5799a70afa4493,e8f070c23a44bf17c0f5abe142916bbf2f584366edbf2e6c2d5799a70afa4493
carry_adam_restart_cosine,20260901,60,3,20270904,41225d4c91784d8eaf4cc0f2c2ac600fb7c3a8b1e3e7986a929ceccc0938a523,0.1275980606675148,0.12758231833577155,0.12758231833577155,6.966954400942459,False,59,11,2.4120994169497862,13.151739959954284,0.0,c274114d49bf4443f6ac86b9b224c354deb7d730f6d8effa05c6200fd50ecd97,501ae8a8fd8959ae44f43d8d309da5ec2d7c36c5262067a3fb032f7a1bfe78cb
carry_adam_restart_cosine,20260901,72,4,20270905,b35200816b01583382d6ee8f87f30cc0fd8bb41fa35743581e7b94e2247b5aea,0.12159974351525307,0.12159974351525307,0.12159974351525307,4.68918804620451,False,72,12,2.565388208022341,15.717128167976625,0.0,d2053ffbec209178b26762df71a8bb01f0734ef69797a216c3499bcfc7795e64,d2053ffbec209178b26762df71a8bb01f0734ef69797a216c3499bcfc7795e64
carry_adam_restart_cosine,20260901,84,5,20270906,67a95174008f6ca00d94c57e107ca349b0c3d21eb9f66bd317686f0b116a1537,0.11740965768694878,0.11740965768694878,0.11740965768694878,3.4458015347246578,False,84,12,2.4301044170279056,18.14723258500453,0.0,c6594d5d231760553c19346b52a6f0710d617af38929e6a7e8c867daa26d4a6a,c6594d5d231760553c19346b52a6f0710d617af38929e6a7e8c867daa26d4a6a
carry_adam_restart_cosine,20260901,96,6,20270907,b69b0f91ae12562b39b77987a740050a044113ec5e8f66dc5c94e7b6f0752990,0.11391947492957115,0.11391947492957115,0.11391947492957115,2.972653890750478,False,96,12,2.4110278750304133,20.558260460034944,0.0,72968934c365d13d8ddc051c9ba57edf6ee09594d060ddd8a8247b33a862707b,72968934c365d13d8ddc051c9ba57edf6ee09594d060ddd8a8247b33a862707b
carry_adam_restart_cosine,20260901,108,7,20270908,a7def47860a39bc67ddc67552d7ae34f99e28332d3379d0a116f5cccdc732c77,0.11099066138267517,0.11099724024534226,0.11099724024534226,2.5651756962625254,False,107,11,2.57657058397308,23.134831044008024,0.0,8060e8bfdb4a1d591e5c6ffe8c727371096ce8dcec9e65325b68977e9892cfe3,4b10e83d1df4186760d799d1439115b8c7bfb6f946e7486f91661d07d08d5827
carry_adam_restart_cosine,20260901,120,8,20270909,711d551c20f7b54c1acf29daf778abdf521d9e25c9b60a969e6397250ab202c1,0.10855202227830887,0.10855202227830887,0.10855202227830887,2.2029538406599816,False,120,12,2.3705348749645054,25.50536591897253,0.0,ecad0b637d6b55caecad79b176f38d482af22316be3ab6ef25af058abaec05c9,ecad0b637d6b55caecad79b176f38d482af22316be3ab6ef25af058abaec05c9
carry_adam_restart_cosine,20260901,132,9,20270910,fe23b47ecf4b9152bc5df64073ea27a3d73fc35c67fff2b66f515dfbe7084e0a,0.10642415136098862,0.10642415136098862,0.10642415136098862,1.9602314840760413,False,132,12,2.421237500035204,27.926603419007733,0.0,b4ac215fbbaa0c4bcce45fb6c3a44926f7ec853a3cd9628400b9c0242bada4bb,b4ac215fbbaa0c4bcce45fb6c3a44926f7ec853a3cd9628400b9c0242bada4bb
carry_adam_restart_cosine,20260901,144,10,20270911,01e187b3417d64a293b488dcb0ae855a7b2c83639a6d20aeb1c82a4588729a26,0.104542675614357,0.10453905910253525,0.10453905910253525,1.7713011889955934,False,141,9,2.7219003749778494,30.648503793985583,0.0,1ed1fe48e07840e44488a0ef1f8f1dc7fc40a4c0546a765a4433595604affeba,61ceca6c3f435b14f666d0568b7572dcb151d5cafe0a544f8d662485faff2332
carry_adam_restart_cosine,20260901,156,11,20270912,6bca3d54db854935e125677c616d0ceb9cc015d6b26f6f2562f8967166303756,0.1028619147837162,0.10284622460603714,0.10284622460603714,1.6193320573332606,False,155,11,2.7277608750155196,33.3762646690011,0.0,102e44bf0f73bad8871453a463095cc832a94b4334c7bb5fcaa1cd00cbc393a3,4054e06b61a845a42fbf5acb30f452c43130e8c5031097cb3ba6136336fd6530
carry_adam_restart_cosine,20260901,168,12,20270913,6c70c9b47bc262dc9f2ae853f7f65c3075c25e40559204ef7792e02e3e8b9283,0.10126446858048439,0.10126446858048439,0.10126446858048439,1.537981614392206,False,168,12,2.7008623329456896,36.07712700194679,0.0,f7a2ab5d3fa76d98599defa545ffa4467791cf03d3a5e6b1ce8bb09e16f015d2,f7a2ab5d3fa76d98599defa545ffa4467791cf03d3a5e6b1ce8bb09e16f015d2
carry_adam_restart_cosine,20260901,180,13,20270914,77a1198da194af11dc28fd1b9e6c0d5d48a57872d5b200693728a9428d7ffada,0.09993834160268307,0.09993004128336906,0.09993004128336906,1.3177645780479843,False,179,11,2.9911013749660924,39.068228376912884,0.0,d4ffc81a17a1d8dae080f54868a1c4ddc9f74d9d727c662bf30a6895031ec364,38e5652d860fc89353261e9237e6474ae10af2cc925d82e0259203eee6bcd0d3
carry_adam_restart_cosine,20260901,192,14,20270915,ad000b7862d9e826e8d5a7f4f45b06a79f64f80988dbc3a06d5ca128058c4249,0.09863667488098145,0.09862455874681472,0.09862455874681472,1.3063964747491217,False,191,11,2.6630280839744955,41.73125646088738,0.0,fa802653903d5f94988dd490ea8969a7408a3e731db6bc8bcc5c0d98d8e46716,6f2fc15f905596ecd57a8e2a4a204731138f482f6389730c1f0e3abd55e3e109
carry_adam_restart_cosine,20260901,204,15,20270916,5f683b1e3cddd119bb4de59c4bfd506dd0fbfc2c74c37fdbde51102ddb5b7a6e,0.09758795239031315,0.09754721596837043,0.09754721596837043,1.0923676537799074,False,202,10,2.4128475410398096,44.14410400192719,0.0,011bdf3ca63c14df56b49b24c15102fdb68a08518003589a1ecc03c2fc6eee5e,2262b6a9f5fde6fb57cfdea648a5d4a61dfe79fce1df94f2298d6535626cf4ad
carry_adam_restart_cosine,20260901,216,16,20270917,f8b61a1cec68255d4a08860fe53db77c59f24ebb99b575aa01662377e247b4b5,0.09652060866355897,0.09647757485508919,0.09647757485508919,1.0965367926206178,False,214,10,2.437336166971363,46.58144016889855,0.0,3f07ae14c4e2c11deaffa86f1c6dc908905c0d7eec73a4f23e7e0155f3ca3a28,1e823d5c0018c747ecaa945111cdfb0897bbb29f192cab49d8fefae8cc6011fa
carry_adam_restart_cosine,20260901,228,17,20270918,bdb2b781577aff57922a11e8c63c5d86cec0549262131080a76dd19497285a0c,0.09548769444227219,0.09548769444227219,0.09548769444227219,1.026021243064574,False,228,12,2.601445250096731,49.18288541899528,0.0,70a81e3bba131c902f661f62eb48b17d998d1292629cbfda1f10e6d0d585a13a,70a81e3bba131c902f661f62eb48b17d998d1292629cbfda1f10e6d0d585a13a
carry_adam_restart_cosine,20260901,240,18,20270919,c8f5ddc5516e2e7d6552183eb860819cc6ca6da0f8c5c56d548d11fa7cb97364,0.09457036927342415,0.09457009732723236,0.09457009732723236,0.9609584987780406,False,239,11,2.364455083035864,51.54734050203115,0.0,56ace3ef85c74d08a31cadf37ca04369aecc778c5442e9b4a575eeccb658235c,9914d6d431bab94de0ced32cb1d2f7942b0ecb59f6ae664c7aa231a63f35b3a5
carry_adam_long_cosine,20260901,24,0,20261002,004eb887c758fa874654c4d2a9718c648fa59d183baed86064105c3243d2622d,0.17542076259851455,0.17542076259851455,0.17542076259851455,0.0,False,24,24,5.637964916997589,5.637964916997589,0.0,7a6c48c47e6f5843318c6c4249cecf4df1929d4635722188164a2cab29572f84,7a6c48c47e6f5843318c6c4249cecf4df1929d4635722188164a2cab29572f84
carry_adam_long_cosine,20260901,36,1,20270902,8fb62264474cc4d8a82bb44e03b36f22a9bb15c4d4f0e003daaa2cf1422a09ba,0.14190054535865784,0.14190054535865784,0.14190054535865784,19.10846626313177,False,36,12,2.4018311660038307,8.03979608300142,0.0009924038765061038,ff5b142d810b931eb638d8aae954e910793c8be10d8e383c40707f6b71f5a053,ff5b142d810b931eb638d8aae954e910793c8be10d8e383c40707f6b71f5a053
carry_adam_long_cosine,20260901,48,2,20270903,41e928de7251a6210c5b9e0b293236aa2c9b2a1edac205c830c3ee686e79e86c,0.12482566013932228,0.12482566013932228,0.12482566013932228,12.0329947824076,False,48,12,2.5309553750557825,10.570751458057202,0.0009698463103929542,779a7d68b3cf47e0be865be3bdef8d0a1ad68e844290f339b71b33fee8539b02,779a7d68b3cf47e0be865be3bdef8d0a1ad68e844290f339b71b33fee8539b02
carry_adam_long_cosine,20260901,60,3,20270904,41225d4c91784d8eaf4cc0f2c2ac600fb7c3a8b1e3e7986a929ceccc0938a523,0.11705234348773956,0.11705234348773956,0.11705234348773956,6.227338708118488,False,60,12,2.397187542053871,12.967939000111073,0.0009330127018922192,fef64e05349720d8172ed15b39b70217b1f0ea8d243966ca99bb6576a34525ed,fef64e05349720d8172ed15b39b70217b1f0ea8d243966ca99bb6576a34525ed
carry_adam_long_cosine,20260901,72,4,20270905,b35200816b01583382d6ee8f87f30cc0fd8bb41fa35743581e7b94e2247b5aea,0.11173284500837326,0.11173284500837326,0.11173284500837326,4.544546756450065,False,72,12,2.4574267499847338,15.425365750095807,0.0008830222215594889,d643e647a32647eebc1b683cadc3e138ae4d530c7721628c1bb11bfd37727487,d643e647a32647eebc1b683cadc3e138ae4d530c7721628c1bb11bfd37727487
carry_adam_long_cosine,20260901,84,5,20270906,67a95174008f6ca00d94c57e107ca349b0c3d21eb9f66bd317686f0b116a1537,0.10859709084033967,0.10859709084033967,0.10859709084033967,2.806474826422377,False,84,12,2.3576096249744296,17.782975375070237,0.0008213938048432696,b74345b26215db22dc7169a8a2b62afb0910f8c26a107f561713ad5306bf4c56,b74345b26215db22dc7169a8a2b62afb0910f8c26a107f561713ad5306bf4c56
carry_adam_long_cosine,20260901,96,6,20270907,b69b0f91ae12562b39b77987a740050a044113ec5e8f66dc5c94e7b6f0752990,0.10588298067450523,0.10588298067450523,0.10588298067450523,2.4992475809501653,False,96,12,2.147465292015113,19.93044066708535,0.0007499999999999998,096dd4069a938cba6669f9339c58bc4f2ee6b10cd19b685e1aa63880f0532bd4,096dd4069a938cba6669f9339c58bc4f2ee6b10cd19b685e1aa63880f0532bd4
carry_adam_long_cosine,20260901,108,7,20270908,a7def47860a39bc67ddc67552d7ae34f99e28332d3379d0a116f5cccdc732c77,0.1038417212665081,0.10344285890460014,0.10344285890460014,2.3045457866200594,False,107,11,2.140702417003922,22.07114308408927,0.0006710100716628344,269a0db192cf83fb863fc0e68cc91babcc5410c160f432c8bd0c5780af890a91,9de438c7d42bbaad4d37e5a7333053ac87e23644371d1a5856ffe00416491cf1
carry_adam_long_cosine,20260901,120,8,20270909,711d551c20f7b54c1acf29daf778abdf521d9e25c9b60a969e6397250ab202c1,0.1013443909585476,0.1013443909585476,0.1013443909585476,2.0286252412721577,False,120,12,2.091569249983877,24.16271233407315,0.0005868240888334653,5c55a9edbc94462abf5c8027c8e1a63d73de243d6b437fc2675812307808754f,5c55a9edbc94462abf5c8027c8e1a63d73de243d6b437fc2675812307808754f
carry_adam_long_cosine,20260901,132,9,20270910,fe23b47ecf4b9152bc5df64073ea27a3d73fc35c67fff2b66f515dfbe7084e0a,0.0999646820127964,0.0999646820127964,0.0999646820127964,1.361406322232391,False,132,12,2.102773708058521,26.26548604213167,0.0004999999999999999,95f62eb8fd6cfb055660745478575a2d67779d086e6e4427fb5668db60f0fff1,95f62eb8fd6cfb055660745478575a2d67779d086e6e4427fb5668db60f0fff1
carry_adam_long_cosine,20260901,144,10,20270911,01e187b3417d64a293b488dcb0ae855a7b2c83639a6d20aeb1c82a4588729a26,0.09887470565736294,0.09887470565736294,0.09887470565736294,1.0903614491396432,False,144,12,2.1049995829816908,28.37048562511336,0.00041317591116653486,46362ae4ae961cfdbfaa4a7a94349c7518766669d6db128527bcc23a19bd2b6a,46362ae4ae961cfdbfaa4a7a94349c7518766669d6db128527bcc23a19bd2b6a
carry_adam_long_cosine,20260901,156,11,20270912,6bca3d54db854935e125677c616d0ceb9cc015d6b26f6f2562f8967166303756,0.09800982661545277,0.09800982661545277,0.09800982661545277,0.8747222418022098,False,156,12,2.0753326659323648,30.445818291045725,0.0003289899283371655,6c40011230af1c023c136abb1a0179f86b02f1a56f48ae2ed392314fb98c3ae6,6c40011230af1c023c136abb1a0179f86b02f1a56f48ae2ed392314fb98c3ae6
carry_adam_long_cosine,20260901,168,12,20270913,6c70c9b47bc262dc9f2ae853f7f65c3075c25e40559204ef7792e02e3e8b9283,0.09767996482551097,0.09736447185277938,0.09736447185277938,0.65845924327454,False,167,11,2.090436792001128,32.53625508304685,0.00025,a118d7a98c75970c75a1293f0ffeb101481e24e56136c1c9682c1047079e344a,17578158cb15497368bf8e42db40eddf89a3b92ad816d04cb6cc382bcaeefe37
carry_adam_long_cosine,20260901,180,13,20270914,77a1198da194af11dc28fd1b9e6c0d5d48a57872d5b200693728a9428d7ffada,0.09698676392436027,0.09692827090620995,0.09692827090620995,0.4480083322636538,False,177,9,2.17223712510895,34.7084922081558,0.00017860619515673023,b932ed4f8c6ccfd40cf63b168b6c53ae4155d33d682dd948a49c2868c8aad44e,1b5526f7aa8c2336336173dc4884587639bad40e73c8371782560c3d73e504cc
carry_adam_long_cosine,20260901,192,14,20270915,ad000b7862d9e826e8d5a7f4f45b06a79f64f80988dbc3a06d5ca128058c4249,0.09658282548189163,0.09650219082832337,0.09650219082832337,0.439582872879751,False,191,11,2.117612582980655,36.82610479113646,0.00011697777844051089,f087bfe3d6e96df84953ea4c5a620cebb137dc7e9bbc7ebfb88d7066148318eb,d9dcdefbe751b1be093752eee4851b8718f2e0ac1e2217426b452b804c18664c
carry_adam_long_cosine,20260901,204,15,20270916,5f683b1e3cddd119bb4de59c4bfd506dd0fbfc2c74c37fdbde51102ddb5b7a6e,0.09636924564838409,0.09635171741247177,0.09635171741247177,0.1559274608777878,False,200,8,2.0572747089900076,38.883379500126466,6.698729810778062e-05,57f77facd129217e303cd070ce37ad6d580197dd803f92fe40a530cb71f842dd,d6a959b9ad4531300a5bf1323ab9da43fd3f60941e47772b20bd99fccffef7bb
carry_adam_long_cosine,20260901,216,16,20270917,f8b61a1cec68255d4a08860fe53db77c59f24ebb99b575aa01662377e247b4b5,0.0962452057749033,0.09623921290040016,0.09623921290040016,0.1167644076221484,False,213,9,2.0653222090331838,40.94870170915965,3.0153689607045822e-05,5c5c748e5d8c82dea02650cc1ab068209f16de6431570969e0fa5c8ea86e6a15,df9c01faec6749f9ae950789ab643d8e1f03d6235ddcf406e72296bbf9f66002
carry_adam_long_cosine,20260901,228,17,20270918,bdb2b781577aff57922a11e8c63c5d86cec0549262131080a76dd19497285a0c,0.09618386030197143,0.09619117304682731,0.09619117304682731,0.04991713057968296,False,226,10,2.057452750043012,43.00615445920266,7.596123493895983e-06,70d3ca3b9d3712d9c3c5e986c33fd40e37ce5a7b9513c11427d48e1fcfd56843,5079ff71e924fd89d88cff8c135215a44bd4e736d8be8c60f03c4f39ebedc4f0
carry_adam_long_cosine,20260901,240,18,20270919,c8f5ddc5516e2e7d6552183eb860819cc6ca6da0f8c5c56d548d11fa7cb97364,0.09617266543209553,0.09617808163166046,0.09617808163166046,0.013609788457765127,False,229,1,2.0262600829591975,45.03241454216186,0.0,a92abdd62b25d3db14fcd12c6bdddb3ae08676b7f0437a01af89fee51e90162b,d18de2dc43911b3b4940eb18e5645de5a5d67bbf1c5203907314dec5e1ffe4ac
restart_adam_restart_cosine,20260902,24,0,20261003,9f604bb173530312690624b166e1214a0eabd5f61405c0fcb4be6a127458a198,0.16212041079998016,0.16212041079998016,0.16212041079998016,0.0,False,24,24,4.353444374981336,4.353444374981336,0.0,f39aeb52176167c1fd4674e3ecfab5c12464922998fd8a2675e5b25a42102da0,f39aeb52176167c1fd4674e3ecfab5c12464922998fd8a2675e5b25a42102da0
restart_adam_restart_cosine,20260902,36,1,20270903,41e928de7251a6210c5b9e0b293236aa2c9b2a1edac205c830c3ee686e79e86c,0.1462346665561199,0.1462346665561199,0.1462346665561199,9.798731797788044,False,36,12,2.118213125038892,6.471657500020228,0.0,9167e8b684fe4a1fe5728d7d01aa2106f13b7e9753162bce70413a7c8111ef2d,9167e8b684fe4a1fe5728d7d01aa2106f13b7e9753162bce70413a7c8111ef2d
restart_adam_restart_cosine,20260902,48,2,20270904,41225d4c91784d8eaf4cc0f2c2ac600fb7c3a8b1e3e7986a929ceccc0938a523,0.13617963194847107,0.13618783950805663,0.13618783950805663,6.870345646898266,False,47,11,2.109591417014599,8.581248917034827,0.0,192b3c376ef697d946dbced5bfeb4b8ed0136fe85b39472cf3d2cdda682ef835,1e6ef370748afb1c3569726caf956b64e03cd4e5d883a083d7e93ea4a704d39c
restart_adam_restart_cosine,20260902,60,3,20270905,b35200816b01583382d6ee8f87f30cc0fd8bb41fa35743581e7b94e2247b5aea,0.12790149599313735,0.12790149599313735,0.12790149599313735,6.084495902711067,False,60,12,2.1078461670549586,10.689095084089786,0.0,a1d581cfec75b268c60df0c881a28bc6f2ecbc8e4ac63fb883a307d1d6bffe40,a1d581cfec75b268c60df0c881a28bc6f2ecbc8e4ac63fb883a307d1d6bffe40
restart_adam_restart_cosine,20260902,72,4,20270906,67a95174008f6ca00d94c57e107ca349b0c3d21eb9f66bd317686f0b116a1537,0.12327660471200944,0.12327660471200944,0.12327660471200944,3.615979035413245,False,72,12,2.116830209037289,12.805925293127075,0.0,630787c9a5f1cb752deaaf670be66e75aaee375b945fb07dbe74c0af08d583f0,630787c9a5f1cb752deaaf670be66e75aaee375b945fb07dbe74c0af08d583f0
restart_adam_restart_cosine,20260902,84,5,20270907,b69b0f91ae12562b39b77987a740050a044113ec5e8f66dc5c94e7b6f0752990,0.12004515007138253,0.12004515007138253,0.12004515007138253,2.621304056961824,False,84,12,2.11123066698201,14.917155960109085,0.0,30e98cd39783109f02f0e092df442119298611d58cfaea9e3873099d087d1ce6,30e98cd39783109f02f0e092df442119298611d58cfaea9e3873099d087d1ce6
