rig_id,block_id,sample_index,family,reconstruction_method,true_aperture_radius,nearest_truth_bank_radius,metadata_aperture_radius,metadata_bank_radius,selected_calibration_radius,radius_changed_from_metadata,calibration_radius_matches_nearest_truth,calibration_fold_deletion_stability,calibration_relative_radius_margin,candidate_reconstruction_kappa,baseline_reconstruction_kappa,oracle_reconstruction_kappa,candidate_field_relative_l2,baseline_field_relative_l2,oracle_field_relative_l2,raw_field_error_reduction_percent,candidate_outer_rms,baseline_outer_rms,outer_error_reductions_percent,minimum_outer_error_reduction_percent,candidate_audit_rms,baseline_audit_rms,raw_audit_error_reduction_percent,decision_uses_truth,decision_uses_audit,route_ge_0p0pct,route_ge_2p0pct
development_rig_a,development_rig_a:radius=0.05500,5,shock_cell,upre,0.055,0.04,0.073,0.08,0.08,False,False,0.5,0.138463946690907,0.01,0.01,0.01,0.2766636847878283,0.2766636847878283,0.2772556469708224,0.0,4.71200828104|5.76703994588,4.71200828104|5.76703994588,0|0,0.0,1.4817538137680533,1.4817538137680533,0.0,False,False,False,False
development_rig_a,development_rig_a:radius=0.05500,6,shock_cell,upre,0.055,0.04,0.073,0.08,0.08,False,False,0.5,0.138463946690907,0.01,0.01,0.01,0.25503743961492276,0.25503743961492276,0.2614987190862731,0.0,2.20111331682|2.76601918391,2.20111331682|2.76601918391,0|0,0.0,1.3106314587557795,1.3106314587557795,0.0,False,False,False,False
development_rig_a,development_rig_a:radius=0.05500,7,shock_cell,upre,0.055,0.04,0.073,0.08,0.08,False,False,0.5,0.138463946690907,0.01,0.01,0.01,0.1947020037510945,0.1947020037510945,0.18183240469935677,0.0,4.55683768069|2.6183330995,4.55683768069|2.6183330995,0|0,0.0,1.5102171811404064,1.5102171811404064,0.0,False,False,False,False
development_rig_a,development_rig_a:radius=0.09500,0,jet_shear,gcv,0.095,0.08,0.113,0.12,0.08,True,True,0.75,0.27503804001866367,0.01,0.01,0.01,0.3530429816705254,0.33866416024656726,0.3530429816705254,-4.2457464095077295,11.2108841744|3.13130300985,11.2402572183|3.11007850596,0.26132003363|-0.682442705278,-0.682442705278323,1.5981108194299127,1.4610729587332245,-9.379261992193902,False,False,False,False
development_rig_a,development_rig_a:radius=0.09500,1,jet_shear,gcv,0.095,0.08,0.113,0.12,0.08,True,True,0.75,0.27503804001866367,0.01,0.01,0.01,0.3377070743064852,0.3406219771070723,0.3377070743064852,0.8557588753795569,4.79312934216|1.97197266409,5.53912518677|2.05032535185,13.4677556375|3.82147583005,3.821475830049991,1.5464190129237287,1.4862725466484623,-4.0467992503055,False,False,True,True
development_rig_a,development_rig_a:radius=0.09500,2,jet_shear,gcv,0.095,0.08,0.113,0.12,0.08,True,True,0.75,0.27503804001866367,0.01,0.01,0.01,0.23154196932907778,0.2309204668983314,0.23154196932907778,-0.2691413364498398,6.43816718506|2.26368162582,6.1619086035|2.56033745285,-4.48332812678|11.5865909275,-4.483328126778829,1.370300960420618,1.2561563240061613,-9.086817797519352,False,False,False,False
development_rig_a,development_rig_a:radius=0.09500,3,jet_shear,gcv,0.095,0.08,0.113,0.12,0.08,True,True,0.75,0.27503804001866367,0.01,0.01,0.01,0.32865078254985874,0.3248029714181179,0.32865078254985874,-1.1846600771356686,5.81476009288|2.47918589658,5.32175153145|2.52485881075,-9.26402817794|1.80892943308,-9.264028177935575,1.4612033712743806,1.5185340564442622,3.7753967338819394,False,False,False,False
development_rig_a,development_rig_a:radius=0.09500,4,shock_cell,gcv,0.095,0.08,0.113,0.12,0.08,True,True,0.75,0.27503804001866367,0.01,0.01,0.01,0.3648161023956595,0.3608878721578724,0.3648161023956595,-1.0884905093371147,4.47983713212|4.30725907944,4.13157005759|3.917804671,-8.42941229766|-9.94062851882,-9.940628518819866,1.6249776481310714,1.5421340624090838,-5.372009330535854,False,False,False,False
development_rig_a,development_rig_a:radius=0.09500,5,shock_cell,gcv,0.095,0.08,0.113,0.12,0.08,True,True,0.75,0.27503804001866367,0.01,0.01,0.01,0.2790133963167857,0.2679132436101464,0.2790133963167857,-4.143189249274907,4.79412058771|5.84437248555,4.5408549192|5.25661345832,-5.5774886671|-11.1813248566,-11.181324856646267,1.4059326412794646,1.3999443113193637,-0.4277548693674293,False,False,False,False
development_rig_a,development_rig_a:radius=0.09500,6,shock_cell,gcv,0.095,0.08,0.113,0.12,0.08,True,True,0.75,0.27503804001866367,0.01,0.01,0.01,0.2555185610210518,0.2562650729249285,0.2555185610210518,0.2913045837094576,2.17792599952|2.82197869679,2.24869052751|2.64001817269,3.14692160285|-6.89239665031,-6.892396650311867,1.3035776333748077,1.2678593905294897,-2.817208525813037,False,False,False,False
